Name,MELBOURNE STARS
Short,STA
Logo,
,
1,WRIGHT
2,DUNK
3,PEITERSON
4,MAXWELL
5,HANDSCOMB
6,FAULKNER
7,GULBIS
8,HASTINGS #C
9,COLEMAN
10,WORRAL
11,FALLINS
12,
