Name,Australia
Short,AUS
,
1,Finch
2,Warner
3,Labuschagne
4,Smith #C
5,Head
6,Green
7,Paine #WK
8,Cummins
9,Lyon
10,Starc
11,Hazlewood
12,Pattinson
